,study_id,max_trials,evalution_metric
216,model_20210919-164137-6fd16bd2d6,15,mean_absolute_error
217,model_20210919-164126-44c730ee32,15,mean_absolute_error
218,model_20210919-163618-440528c61a,15,mean_absolute_error
219,model_20210919-163453-7cb80814de,15,mean_absolute_error
220,model_20210919-162954-d11eab6874,15,mean_absolute_error
221,model_20210919-162758-5271be41d6,15,mean_absolute_error
222,model_20210918-165641-77c47331da,15,mean_absolute_error
223,model_20210918-164356-82fea0e5e6,15,mean_absolute_error
224,model_20210918-164313-38dc5713f5,15,mean_absolute_error
225,model_20210918-164238-6f4136cf5c,15,mean_absolute_error
226,model_20210918-164219-77b9c24e6a,15,mean_absolute_error
227,model_20210918-163505-7f4d288d35,15,mean_absolute_error
228,model_20210918-162459-7879b371a8,15,mean_absolute_error
229,model_20210918-162458-30059757e3,15,mean_absolute_error
230,model_20210917-170007-3629c0979e,15,mean_absolute_error
231,model_20210917-165535-465a0be73a,15,mean_absolute_error
232,model_20210917-163358-a83e68aa7c,15,mean_absolute_error
233,model_20210917-163014-3d88c7d068,15,mean_absolute_error
234,model_20210916-165145-69c2fedee8,15,mean_absolute_error
235,model_20210916-164245-b674ed9151,15,mean_absolute_error
236,model_20210916-163354-a2f658e134,15,mean_absolute_error
237,model_20210916-163155-2e692758cc,15,mean_absolute_error
238,model_20210916-163052-1ac116a8cd,15,mean_absolute_error
239,model_20210916-163016-dea3800771,15,mean_absolute_error
240,model_20210916-163006-4ec755bf75,15,mean_absolute_error
241,model_20210916-162741-491b38a470,15,mean_absolute_error
242,model_20210915-165059-824e47af1c,15,mean_absolute_error
243,model_20210915-165053-03fc8d7213,15,mean_absolute_error
244,model_20210915-165042-0a7c3319ff,15,mean_absolute_error
245,model_20210915-165041-3ce1c125cb,15,mean_absolute_error
246,model_20210915-164605-5fedd9bbff,15,mean_absolute_error
247,model_20210915-164547-09f84375aa,15,mean_absolute_error
248,model_20210915-163937-d58b766082,15,mean_absolute_error
249,model_20210915-163437-08b7f269c8,15,mean_absolute_error
250,model_20210914-164303-d8e45b10a8,15,mean_absolute_error
251,model_20210914-164239-d862ac5481,15,mean_absolute_error
252,model_20210914-163638-00a47797b4,15,mean_absolute_error
253,model_20210914-163600-433283c6b3,15,mean_absolute_error
254,model_20210914-163354-9a34553ef2,15,mean_absolute_error
255,model_20210914-163224-66aab241ee,15,mean_absolute_error
256,model_20210914-163140-af8fb5298a,15,mean_absolute_error
257,model_20210914-160614-6080ce6a3a,15,mean_absolute_error
258,model_20210913-165331-39a0e6b59e,15,mean_absolute_error
259,model_20210913-164612-de6129ad7e,15,mean_absolute_error
260,model_20210913-164326-57f9e1d891,15,mean_absolute_error
261,model_20210913-163818-945cf0c2af,15,mean_absolute_error
262,model_20210913-163520-616dd90126,15,mean_absolute_error
263,model_20210913-163426-070f8cc597,15,mean_absolute_error
264,model_20210913-163017-813af57e2d,15,mean_absolute_error
265,model_20210913-163010-ad504c1c18,15,mean_absolute_error
266,model_20210912-164747-c621cb5152,15,mean_absolute_error
267,model_20210912-164303-1e3a4f5653,15,mean_absolute_error
268,model_20210912-164157-ad3bce0a8c,15,mean_absolute_error
269,model_20210912-163214-0d642e7b2d,15,mean_absolute_error
270,model_20210912-162956-566f9b9cfe,15,mean_absolute_error
271,model_20210912-162752-71c540ca6e,15,mean_absolute_error
272,model_20210912-162536-e3555a6fba,15,mean_absolute_error
273,model_20210912-162443-7f0d113a58,15,mean_absolute_error
274,model_20210912-075005-8c6e4f6acd,15,mean_absolute_error
275,model_20210912-074732-fabb0bb6a2,15,mean_absolute_error
276,model_20210912-074538-0114f1ddd0,15,mean_absolute_error
277,model_20210912-074506-5c1681d6a5,15,mean_absolute_error
278,model_20210912-074343-5549f8da2d,15,mean_absolute_error
279,model_20210912-074223-15204fb40f,15,mean_absolute_error
280,model_20210912-073800-26073f8b13,15,mean_absolute_error
281,model_20210912-073708-cf09ea19d2,15,mean_absolute_error
282,model_20210910-164146-86df8cd380,15,mean_absolute_error
283,model_20210910-164045-e66c03fb2e,15,mean_absolute_error
284,model_20210910-163341-d2c2c7d8a4,15,mean_absolute_error
285,model_20210910-162835-bd960bdbb1,15,mean_absolute_error
286,model_20210909-164545-0396a06453,15,mean_absolute_error
287,model_20210909-164208-d64cba58da,15,mean_absolute_error
288,model_20210909-163932-4bf7167e7e,15,mean_absolute_error
289,model_20210909-163436-6a811efa95,15,mean_absolute_error
290,model_20210909-163318-d929050c8e,15,mean_absolute_error
291,model_20210909-163102-9eb7f4a2ff,15,mean_absolute_error
292,model_20210909-161420-b78888f9fb,15,mean_absolute_error
293,model_20210909-161006-1e75b01be9,15,mean_absolute_error
294,model_20210908-195301-ee6160704d,15,mean_absolute_error
295,model_20210908-164820-c025c4e56e,15,mean_absolute_error
296,model_20210908-164348-e5a30a640c,15,mean_absolute_error
297,model_20210908-164306-c73cb3aaf4,15,mean_absolute_error
298,model_20210908-163903-128eb730d2,15,mean_absolute_error
299,model_20210908-163722-fd64519b86,15,mean_absolute_error
300,model_20210908-162802-639ca77960,15,mean_absolute_error
301,model_20210908-162722-d67ed6b5c6,15,mean_absolute_error
302,model_20210907-230541-d50612a789,15,mean_absolute_error
303,model_20210907-230422-d347dd98c0,15,mean_absolute_error
304,model_20210907-230345-d3397d7b93,15,mean_absolute_error
305,model_20210907-225838-56598add47,15,mean_absolute_error
306,model_20210907-225144-48121b1db3,15,mean_absolute_error
307,model_20210907-223442-039e838d44,15,mean_absolute_error
308,model_20210907-222643-8b9273ccaa,15,mean_absolute_error
